{ IngredientId = 1, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 2, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 3, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 4, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 5, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 6, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 7, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 8, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 9, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 10, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 11, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 12, OnHandQuantity = 0.453592, UnitCost = 0.00, Value = 0 }
{ IngredientId = 13, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 14, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 15, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 16, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 17, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 18, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 19, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 20, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 21, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 22, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 23, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 24, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 25, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 26, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 27, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 28, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 29, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 30, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 31, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 32, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 33, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 34, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 35, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 36, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 37, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 38, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 39, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 40, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 41, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 42, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 43, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 44, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 45, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 46, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 47, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 48, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 49, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 50, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 51, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 52, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 53, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 54, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 55, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 56, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 57, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 58, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 59, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 60, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 61, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 62, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 63, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 64, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 65, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 66, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 67, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 68, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 69, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 70, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 71, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 72, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 73, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 74, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
